Case 0: 51	 0.000000 0.051000 0.949001 0.000000 0.051000 1.000000 1.000000 0.949001
Case 0: 52	 0.000000 0.052000 0.948001 0.000000 0.052000 1.000000 1.000000 0.948001
Case 0: 53	 0.000000 0.053000 0.947001 0.000000 0.053000 1.000000 1.000000 0.947001
Case 0: 54	 0.000000 0.054000 0.946001 0.000000 0.054000 1.000000 1.000000 0.946001
Case 0: 55	 0.000000 0.055000 0.945001 0.000000 0.055000 1.000000 1.000000 0.945001
Case 0: 56	 0.000000 0.056000 0.944001 0.000000 0.056000 1.000000 1.000000 0.944001
Case 0: 57	 0.000000 0.057000 0.943001 0.000000 0.057000 1.000000 1.000000 0.943001
Case 0: 58	 0.000000 0.058000 0.942001 0.000000 0.058000 1.000000 1.000000 0.942001
Case 0: 59	 0.000000 0.059000 0.941001 0.000000 0.059000 1.000000 1.000000 0.941001
Case 0: 60	 0.000000 0.060000 0.940001 0.000000 0.060000 1.000000 1.000000 0.940001
Case 0: 61	 0.000000 0.061000 0.939001 0.000000 0.061000 1.000000 1.000000 0.939001
Case 0: 62	 0.000000 0.062000 0.938001 0.000000 0.062000 1.000000 1.000000 0.938001
Case 0: 63	 0.000000 0.063000 0.937001 0.000000 0.063000 1.000000 1.000000 0.937001
Case 0: 64	 0.000000 0.064000 0.936001 0.000000 0.064000 1.000000 1.000000 0.936001
Case 0: 65	 0.000000 0.065000 0.935001 0.000000 0.065000 1.000000 1.000000 0.935001
Case 0: 66	 0.000000 0.066000 0.934001 0.000000 0.066000 1.000000 1.000000 0.934001
Case 0: 67	 0.000000 0.067000 0.933001 0.000000 0.067000 1.000000 1.000000 0.933001
Case 0: 68	 0.000000 0.068000 0.932001 0.000000 0.068000 1.000000 1.000000 0.932001
Case 0: 69	 0.000000 0.069000 0.931001 0.000000 0.069000 1.000000 1.000000 0.931001
Case 0: 70	 0.000000 0.070000 0.930001 0.000000 0.070000 1.000000 1.000000 0.930001
Case 0: 71	 0.000000 0.071000 0.929001 0.000000 0.071000 1.000000 1.000000 0.929001
Case 0: 72	 0.000000 0.072000 0.928001 0.000000 0.072000 1.000000 1.000000 0.928001
Case 0: 73	 0.000000 0.073000 0.927001 0.000000 0.073000 1.000000 1.000000 0.927001
Case 0: 74	 0.000000 0.074000 0.926001 0.000000 0.074000 1.000000 1.000000 0.926001
Case 0: 75	 0.000000 0.075000 0.925001 0.000000 0.075000 1.000000 1.000000 0.925001
Case 0: 76	 0.000000 0.076000 0.924001 0.000000 0.076000 1.000000 1.000000 0.924001
Case 0: 77	 0.000000 0.077000 0.923001 0.000000 0.077000 1.000000 1.000000 0.923001
Case 0: 78	 0.000000 0.078000 0.922001 0.000000 0.078000 1.000000 1.000000 0.922001
Case 0: 79	 0.000000 0.079000 0.921001 0.000000 0.079000 1.000000 1.000000 0.921001
Case 0: 80	 0.000000 0.080000 0.920001 0.000000 0.080000 1.000000 1.000000 0.920001
Case 0: 81	 0.000000 0.081000 0.919001 0.000000 0.081000 1.000000 1.000000 0.919001
Case 0: 82	 0.000000 0.082000 0.918001 0.000000 0.082000 1.000000 1.000000 0.918001
Case 0: 83	 0.000000 0.083000 0.917001 0.000000 0.083000 1.000000 1.000000 0.917001
Case 0: 84	 0.000000 0.084000 0.916001 0.000000 0.084000 1.000000 1.000000 0.916001
Case 0: 85	 0.000000 0.085000 0.915001 0.000000 0.085000 1.000000 1.000000 0.915001
Case 0: 86	 0.000000 0.086000 0.914001 0.000000 0.086000 1.000000 1.000000 0.914001
Case 0: 87	 0.000000 0.087000 0.913001 0.000000 0.087000 1.000000 1.000000 0.913001
Case 0: 88	 0.000000 0.088000 0.912001 0.000000 0.088000 1.000000 1.000000 0.912001
Case 0: 89	 0.000000 0.089000 0.911001 0.000000 0.089000 1.000000 1.000000 0.911001
Case 0: 90	 0.000000 0.090000 0.910001 0.000000 0.090000 1.000000 1.000000 0.910001
Case 0: 91	 0.000000 0.091000 0.909001 0.000000 0.091000 1.000000 1.000000 0.909001
Case 0: 92	 0.000000 0.092000 0.908001 0.000000 0.092000 1.000000 1.000000 0.908001
Case 0: 93	 0.000000 0.093000 0.907001 0.000000 0.093000 1.000000 1.000000 0.907001
Case 0: 94	 0.000000 0.094000 0.906001 0.000000 0.094000 1.000000 1.000000 0.906001
Case 0: 95	 0.000000 0.095000 0.905001 0.000000 0.095000 1.000000 1.000000 0.905001
Case 0: 96	 0.000000 0.096000 0.904001 0.000000 0.096000 1.000000 1.000000 0.904001
Case 0: 97	 0.000000 0.097000 0.903001 0.000000 0.097000 1.000000 1.000000 0.903001
Case 0: 98	 0.000000 0.098000 0.902001 0.000000 0.098000 1.000000 1.000000 0.902001
Case 0: 99	 0.000000 0.099000 0.901001 0.000000 0.099000 1.000000 1.000000 0.901001
Case 0: 100	 0.000000 0.100000 0.900001 0.000000 0.100000 1.000000 1.000000 0.900001
Case 0: 101	 0.000000 0.101000 0.899001 0.000000 0.101000 1.000000 1.000000 0.899001
Case 0: 102	 0.000000 0.102000 0.898001 0.000000 0.102000 1.000000 1.000000 0.898001
Case 0: 103	 0.000000 0.103000 0.897001 0.000000 0.103000 1.000000 1.000000 0.897001
Case 0: 104	 0.000000 0.104000 0.896001 0.000000 0.104000 1.000000 1.000000 0.896001
Case 0: 105	 0.000000 0.105000 0.895001 0.000000 0.105000 1.000000 1.000000 0.895001
Case 0: 106	 0.000000 0.106000 0.894001 0.000000 0.106000 1.000000 1.000000 0.894001
Case 0: 107	 0.000000 0.107000 0.893001 0.000000 0.107000 1.000000 1.000000 0.893001
Case 0: 108	 0.000000 0.108000 0.892001 0.000000 0.108000 1.000000 1.000000 0.892001
Case 0: 109	 0.000000 0.109000 0.891001 0.000000 0.109000 1.000000 1.000000 0.891001
Case 0: 110	 0.000000 0.110000 0.890001 0.000000 0.110000 1.000000 1.000000 0.890001
Case 0: 111	 0.000000 0.111000 0.889001 0.000000 0.111000 1.000000 1.000000 0.889001
Case 0: 112	 0.000000 0.112000 0.888001 0.000000 0.112000 1.000000 1.000000 0.888001
Case 0: 113	 0.000000 0.113000 0.887001 0.000000 0.113000 1.000000 1.000000 0.887001
Case 0: 114	 0.000000 0.114000 0.886001 0.000000 0.114000 1.000000 1.000000 0.886001
Case 0: 115	 0.000000 0.115000 0.885001 0.000000 0.115000 1.000000 1.000000 0.885001
Case 0: 116	 0.000000 0.116000 0.884001 0.000000 0.116000 1.000000 1.000000 0.884001
Case 0: 117	 0.000000 0.117000 0.883002 0.000000 0.117000 1.000000 1.000000 0.883002
Case 0: 118	 0.000000 0.118000 0.882002 0.000000 0.118000 1.000000 1.000000 0.882002
Case 0: 119	 0.000000 0.119000 0.881002 0.000000 0.119000 1.000000 1.000000 0.881002
Case 0: 120	 0.000000 0.120000 0.880002 0.000000 0.120000 1.000000 1.000000 0.880002
Case 0: 121	 0.000000 0.121000 0.879002 0.000000 0.121000 1.000000 1.000000 0.879002
Case 0: 122	 0.000000 0.122000 0.878002 0.000000 0.122000 1.000000 1.000000 0.878002
Case 0: 123	 0.000000 0.123000 0.877002 0.000000 0.123000 1.000000 1.000000 0.877002
Case 0: 124	 0.000000 0.124000 0.876002 0.000000 0.124000 1.000000 1.000000 0.876002
Case 0: 125	 0.000000 0.125000 0.875002 0.000000 0.125000 1.000000 1.000000 0.875002
Case 0: 126	 0.000000 0.126000 0.874002 0.000000 0.126000 1.000000 1.000000 0.874002
Case 0: 127	 0.000000 0.127000 0.873002 0.000000 0.127000 1.000000 1.000000 0.873002
Case 0: 128	 0.000000 0.128000 0.872002 0.000000 0.128000 1.000000 1.000000 0.872002
Case 0: 129	 0.000000 0.129000 0.871002 0.000000 0.129000 1.000000 1.000000 0.871002
Case 0: 130	 0.000000 0.130000 0.870002 0.000000 0.130000 1.000000 1.000000 0.870002
Case 0: 131	 0.000000 0.131000 0.869002 0.000000 0.131000 1.000000 1.000000 0.869002
Case 0: 132	 0.000000 0.132000 0.868002 0.000000 0.132000 1.000000 1.000000 0.868002
Case 0: 133	 0.000000 0.133000 0.867002 0.000000 0.133000 1.000000 1.000000 0.867002
Case 0: 134	 0.000000 0.134000 0.866002 0.000000 0.134000 1.000000 1.000000 0.866002
Case 0: 135	 0.000000 0.135000 0.865002 0.000000 0.135000 1.000000 1.000000 0.865002
Case 0: 136	 0.000000 0.136000 0.864002 0.000000 0.136000 1.000000 1.000000 0.864002
Case 0: 137	 0.000000 0.137000 0.863002 0.000000 0.137000 1.000000 1.000000 0.863002
Case 0: 138	 0.000000 0.138000 0.862002 0.000000 0.138000 1.000000 1.000000 0.862002
Case 0: 139	 0.000000 0.139000 0.861002 0.000000 0.139000 1.000000 1.000000 0.861002
Case 0: 140	 0.000000 0.140000 0.860002 0.000000 0.140000 1.000000 1.000000 0.860002
Case 0: 141	 0.000000 0.141000 0.859002 0.000000 0.141000 1.000000 1.000000 0.859002
Case 0: 142	 0.000000 0.142000 0.858002 0.000000 0.142000 1.000000 1.000000 0.858002
Case 0: 143	 0.000000 0.143000 0.857002 0.000000 0.143000 1.000000 1.000000 0.857002
Case 0: 144	 0.000000 0.144000 0.856002 0.000000 0.144000 1.000000 1.000000 0.856002
Case 0: 145	 0.000000 0.145000 0.855002 0.000000 0.145000 1.000000 1.000000 0.855002
Case 0: 146	 0.000000 0.146000 0.854002 0.000000 0.146000 1.000000 1.000000 0.854002
Case 0: 147	 0.000000 0.147000 0.853002 0.000000 0.147000 1.000000 1.000000 0.853002
Case 0: 148	 0.000000 0.148000 0.852002 0.000000 0.148000 1.000000 1.000000 0.852002
Case 0: 149	 0.000000 0.149000 0.851002 0.000000 0.149000 1.000000 1.000000 0.851002
Case 0: 150	 0.000000 0.150000 0.850002 0.000000 0.150000 1.000000 1.000000 0.850002
Case 0: 151	 0.000000 0.151000 0.849002 0.000000 0.151000 1.000000 1.000000 0.849002
Case 0: 152	 0.000000 0.152000 0.848002 0.000000 0.152000 1.000000 1.000000 0.848002
Case 0: 153	 0.000000 0.153000 0.847002 0.000000 0.153000 1.000000 1.000000 0.847002
Case 0: 154	 0.000000 0.154000 0.846002 0.000000 0.154000 1.000000 1.000000 0.846002
Case 0: 155	 0.000000 0.155000 0.845002 0.000000 0.155000 1.000000 1.000000 0.845002
Case 0: 156	 0.000000 0.156000 0.844002 0.000000 0.156000 1.000000 1.000000 0.844002
Case 0: 157	 0.000000 0.157000 0.843002 0.000000 0.157000 1.000000 1.000000 0.843002
Case 0: 158	 0.000000 0.158000 0.842002 0.000000 0.158000 1.000000 1.000000 0.842002
Case 0: 159	 0.000000 0.159000 0.841002 0.000000 0.159000 1.000000 1.000000 0.841002
Case 0: 160	 0.000000 0.160000 0.840002 0.000000 0.160000 1.000000 1.000000 0.840002
Case 0: 161	 0.000000 0.161000 0.839002 0.000000 0.161000 1.000000 1.000000 0.839002
Case 0: 162	 0.000000 0.162000 0.838002 0.000000 0.162000 1.000000 1.000000 0.838002
Case 0: 163	 0.000000 0.163000 0.837002 0.000000 0.163000 1.000000 1.000000 0.837002
Case 0: 164	 0.000000 0.164000 0.836002 0.000000 0.164000 1.000000 1.000000 0.836002
Case 0: 165	 0.000000 0.165000 0.835002 0.000000 0.165000 1.000000 1.000000 0.835002
Case 0: 166	 0.000000 0.166000 0.834002 0.000000 0.166000 1.000000 1.000000 0.834002
Case 0: 167	 0.000000 0.167000 0.833002 0.000000 0.167000 1.000000 1.000000 0.833002
Case 0: 168	 0.000000 0.168000 0.832002 0.000000 0.168000 1.000000 1.000000 0.832002
Case 0: 169	 0.000000 0.169000 0.831002 0.000000 0.169000 1.000000 1.000000 0.831002
Case 0: 170	 0.000000 0.170000 0.830002 0.000000 0.170000 1.000000 1.000000 0.830002
Case 0: 171	 0.000000 0.171000 0.829002 0.000000 0.171000 1.000000 1.000000 0.829002
Case 0: 172	 0.000000 0.172000 0.828002 0.000000 0.172000 1.000000 1.000000 0.828002
Case 0: 173	 0.000000 0.173000 0.827002 0.000000 0.173000 1.000000 1.000000 0.827002
Case 0: 174	 0.000000 0.174000 0.826002 0.000000 0.174000 1.000000 1.000000 0.826002
Case 0: 175	 0.000000 0.175000 0.825002 0.000000 0.175000 1.000000 1.000000 0.825002
Case 0: 176	 0.000000 0.176000 0.824002 0.000000 0.176000 1.000000 1.000000 0.824002
Case 0: 177	 0.000000 0.177000 0.823002 0.000000 0.177000 1.000000 1.000000 0.823002
Case 0: 178	 0.000000 0.178000 0.822002 0.000000 0.178000 1.000000 1.000000 0.822002
Case 0: 179	 0.000000 0.179000 0.821002 0.000000 0.179000 1.000000 1.000000 0.821002
Case 0: 180	 0.000000 0.180000 0.820002 0.000000 0.180000 1.000000 1.000000 0.820002
Case 0: 181	 0.000000 0.181000 0.819002 0.000000 0.181000 1.000000 1.000000 0.819002
Case 0: 182	 0.000000 0.182000 0.818002 0.000000 0.182000 1.000000 1.000000 0.818002
Case 0: 183	 0.000000 0.183000 0.817002 0.000000 0.183000 1.000000 1.000000 0.817002
Case 0: 184	 0.000000 0.184000 0.816002 0.000000 0.184000 1.000000 1.000000 0.816002
Case 0: 185	 0.000000 0.185000 0.815002 0.000000 0.185000 1.000000 1.000000 0.815002
Case 0: 186	 0.000000 0.186000 0.814002 0.000000 0.186000 1.000000 1.000000 0.814002
Case 0: 187	 0.000000 0.187000 0.813002 0.000000 0.187000 1.000000 1.000000 0.813002
Case 0: 188	 0.000000 0.188000 0.812002 0.000000 0.188000 1.000000 1.000000 0.812002
Case 0: 189	 0.000000 0.189000 0.811002 0.000000 0.189000 1.000000 1.000000 0.811002
Case 0: 190	 0.000000 0.190000 0.810002 0.000000 0.190000 1.000000 1.000000 0.810002
Case 0: 191	 0.000000 0.191000 0.809002 0.000000 0.191000 1.000000 1.000000 0.809002
Case 0: 192	 0.000000 0.192000 0.808002 0.000000 0.192000 1.000000 1.000000 0.808002
Case 0: 193	 0.000000 0.193000 0.807002 0.000000 0.193000 1.000000 1.000000 0.807002
Case 0: 194	 0.000000 0.194000 0.806002 0.000000 0.194000 1.000000 1.000000 0.806002
Case 0: 195	 0.000000 0.195000 0.805003 0.000000 0.195000 1.000000 1.000000 0.805003
Case 0: 196	 0.000000 0.196000 0.804003 0.000000 0.196000 1.000000 1.000000 0.804003
Case 0: 197	 0.000000 0.197000 0.803003 0.000000 0.197000 1.000000 1.000000 0.803003
Case 0: 198	 0.000000 0.198000 0.802003 0.000000 0.198000 1.000000 1.000000 0.802003
Case 0: 199	 0.000000 0.199000 0.801003 0.000000 0.199000 1.000000 1.000000 0.801003
Case 0: 200	 0.000000 0.200000 0.800003 0.000000 0.200000 1.000000 1.000000 0.800003
Case 0: 201	 0.000000 0.201000 0.799003 0.000000 0.201000 1.000000 1.000000 0.799003
Case 0: 202	 0.000000 0.202000 0.798003 0.000000 0.202000 1.000000 1.000000 0.798003
Case 0: 203	 0.000000 0.203000 0.797003 0.000000 0.203000 1.000000 1.000000 0.797003
Case 0: 204	 0.000000 0.204000 0.796003 0.000000 0.204000 1.000000 1.000000 0.796003
Case 0: 205	 0.000000 0.205000 0.795003 0.000000 0.205000 1.000000 1.000000 0.795003
Case 0: 206	 0.000000 0.206000 0.794003 0.000000 0.206000 1.000000 1.000000 0.794003
Case 0: 207	 0.000000 0.207000 0.793003 0.000000 0.207000 1.000000 1.000000 0.793003
Case 0: 208	 0.000000 0.208000 0.792003 0.000000 0.208000 1.000000 1.000000 0.792003
Case 0: 209	 0.000000 0.209000 0.791003 0.000000 0.209000 1.000000 1.000000 0.791003
Case 0: 210	 0.000000 0.210000 0.790003 0.000000 0.210000 1.000000 1.000000 0.790003
Case 0: 211	 0.000000 0.211000 0.789003 0.000000 0.211000 1.000000 1.000000 0.789003
Case 0: 212	 0.000000 0.212000 0.788003 0.000000 0.212000 1.000000 1.000000 0.788003
Case 0: 213	 0.000000 0.213000 0.787003 0.000000 0.213000 1.000000 1.000000 0.787003
Case 0: 214	 0.000000 0.214000 0.786003 0.000000 0.214000 1.000000 1.000000 0.786003
Case 0: 215	 0.000000 0.215000 0.785003 0.000000 0.215000 1.000000 1.000000 0.785003
Case 0: 216	 0.000000 0.216000 0.784003 0.000000 0.216000 1.000000 1.000000 0.784003
Case 0: 217	 0.000000 0.217000 0.783003 0.000000 0.217000 1.000000 1.000000 0.783003
Case 0: 218	 0.000000 0.218000 0.782003 0.000000 0.218000 1.000000 1.000000 0.782003
Case 0: 219	 0.000000 0.219000 0.781003 0.000000 0.219000 1.000000 1.000000 0.781003
Case 0: 220	 0.000000 0.220000 0.780003 0.000000 0.220000 1.000000 1.000000 0.780003
Case 0: 221	 0.000000 0.221000 0.779003 0.000000 0.221000 1.000000 1.000000 0.779003
Case 0: 222	 0.000000 0.222000 0.778003 0.000000 0.222000 1.000000 1.000000 0.778003
Case 0: 223	 0.000000 0.223000 0.777003 0.000000 0.223000 1.000000 1.000000 0.777003
Case 0: 224	 0.000000 0.224000 0.776003 0.000000 0.224000 1.000000 1.000000 0.776003
Case 0: 225	 0.000000 0.225000 0.775003 0.000000 0.225000 1.000000 1.000000 0.775003
Case 0: 226	 0.000000 0.226000 0.774003 0.000000 0.226000 1.000000 1.000000 0.774003
Case 0: 227	 0.000000 0.227000 0.773003 0.000000 0.227000 1.000000 1.000000 0.773003
Case 0: 228	 0.000000 0.228000 0.772003 0.000000 0.228000 1.000000 1.000000 0.772003
Case 0: 229	 0.000000 0.229000 0.771003 0.000000 0.229000 1.000000 1.000000 0.771003
Case 0: 230	 0.000000 0.230000 0.770003 0.000000 0.230000 1.000000 1.000000 0.770003
Case 0: 231	 0.000000 0.231000 0.769003 0.000000 0.231000 1.000000 1.000000 0.769003
Case 0: 232	 0.000000 0.232000 0.768003 0.000000 0.232000 1.000000 1.000000 0.768003
Case 0: 233	 0.000000 0.233000 0.767003 0.000000 0.233000 1.000000 1.000000 0.767003
Case 0: 234	 0.000000 0.234000 0.766003 0.000000 0.234000 1.000000 1.000000 0.766003
Case 0: 235	 0.000000 0.235000 0.765003 0.000000 0.235000 1.000000 1.000000 0.765003
Case 0: 236	 0.000000 0.236000 0.764003 0.000000 0.236000 1.000000 1.000000 0.764003
Case 0: 237	 0.000000 0.237000 0.763003 0.000000 0.237000 1.000000 1.000000 0.763003
Case 0: 238	 0.000000 0.238000 0.762003 0.000000 0.238000 1.000000 1.000000 0.762003
Case 0: 239	 0.000000 0.239000 0.761003 0.000000 0.239000 1.000000 1.000000 0.761003
Case 0: 240	 0.000000 0.240000 0.760003 0.000000 0.240000 1.000000 1.000000 0.760003
Case 0: 241	 0.000000 0.241000 0.759003 0.000000 0.241000 1.000000 1.000000 0.759003
Case 0: 242	 0.000000 0.242000 0.758003 0.000000 0.242000 1.000000 1.000000 0.758003
Case 0: 243	 0.000000 0.243000 0.757003 0.000000 0.243000 1.000000 1.000000 0.757003
Case 0: 244	 0.000000 0.244000 0.756003 0.000000 0.244000 1.000000 1.000000 0.756003
Case 0: 245	 0.000000 0.245000 0.755003 0.000000 0.245000 1.000000 1.000000 0.755003
Case 0: 246	 0.000000 0.246000 0.754003 0.000000 0.246000 1.000000 1.000000 0.754003
Case 0: 247	 0.000000 0.247000 0.753003 0.000000 0.247000 1.000000 1.000000 0.753003
Case 0: 248	 0.000000 0.248000 0.752003 0.000000 0.248000 1.000000 1.000000 0.752003
Case 0: 249	 0.000000 0.249000 0.751003 0.000000 0.249000 1.000000 1.000000 0.751003
Case 0: 250	 0.000000 0.250000 0.750003 0.000000 0.250000 1.000000 1.000000 0.750003
Case 0: 251	 0.000000 0.251000 0.749003 0.000000 0.251000 1.000000 1.000000 0.749003
Case 0: 252	 0.000000 0.252000 0.748003 0.000000 0.252000 1.000000 1.000000 0.748003
Case 0: 253	 0.000000 0.253000 0.747003 0.000000 0.253000 1.000000 1.000000 0.747003
Case 0: 254	 0.000000 0.254000 0.746003 0.000000 0.254000 1.000000 1.000000 0.746003
Case 0: 255	 0.000000 0.255000 0.745003 0.000000 0.255000 1.000000 1.000000 0.745003
Case 0: 256	 0.000000 0.256000 0.744003 0.000000 0.256000 1.000000 1.000000 0.744003
Case 0: 257	 0.000000 0.257000 0.743003 0.000000 0.257000 1.000000 1.000000 0.743003
Case 0: 258	 0.000000 0.258000 0.742003 0.000000 0.258000 1.000000 1.000000 0.742003
Case 0: 259	 0.000000 0.259000 0.741003 0.000000 0.259000 1.000000 1.000000 0.741003
Case 0: 260	 0.000000 0.260000 0.740003 0.000000 0.260000 1.000000 1.000000 0.740003
Case 0: 261	 0.000000 0.261000 0.739003 0.000000 0.261000 1.000000 1.000000 0.739003
Case 0: 262	 0.000000 0.262000 0.738003 0.000000 0.262000 1.000000 1.000000 0.738003
Case 0: 263	 0.000000 0.263000 0.737003 0.000000 0.263000 1.000000 1.000000 0.737003
Case 0: 264	 0.000000 0.264000 0.736003 0.000000 0.264000 1.000000 1.000000 0.736003
Case 0: 265	 0.000000 0.265000 0.735003 0.000000 0.265000 1.000000 1.000000 0.735003
Case 0: 266	 0.000000 0.266000 0.734003 0.000000 0.266000 1.000000 1.000000 0.734003
Case 0: 267	 0.000000 0.267000 0.733003 0.000000 0.267000 1.000000 1.000000 0.733003
Case 0: 268	 0.000000 0.268000 0.732003 0.000000 0.268000 1.000000 1.000000 0.732003
Case 0: 269	 0.000000 0.269000 0.731003 0.000000 0.269000 1.000000 1.000000 0.731003
Case 0: 270	 0.000000 0.270000 0.730003 0.000000 0.270000 1.000000 1.000000 0.730003
Case 0: 271	 0.000000 0.271000 0.729003 0.000000 0.271000 1.000000 1.000000 0.729003
Case 0: 272	 0.000000 0.272000 0.728004 0.000000 0.272000 1.000000 1.000000 0.728004
Case 0: 273	 0.000000 0.273000 0.727004 0.000000 0.273000 1.000000 1.000000 0.727004
Case 0: 274	 0.000000 0.274000 0.726004 0.000000 0.274000 1.000000 1.000000 0.726004
Case 0: 275	 0.000000 0.275000 0.725004 0.000000 0.275000 1.000000 1.000000 0.725004
Case 0: 276	 0.000000 0.276000 0.724004 0.000000 0.276000 1.000000 1.000000 0.724004
Case 0: 277	 0.000000 0.277000 0.723004 0.000000 0.277000 1.000000 1.000000 0.723004
Case 0: 278	 0.000000 0.278000 0.722004 0.000000 0.278000 1.000000 1.000000 0.722004
Case 0: 279	 0.000000 0.279000 0.721004 0.000000 0.279000 1.000000 1.000000 0.721004
Case 0: 280	 0.000000 0.280000 0.720004 0.000000 0.280000 1.000000 1.000000 0.720004
Case 0: 281	 0.000000 0.281000 0.719004 0.000000 0.281000 1.000000 1.000000 0.719004
Case 0: 282	 0.000000 0.282000 0.718004 0.000000 0.282000 1.000000 1.000000 0.718004
Case 0: 283	 0.000000 0.283000 0.717004 0.000000 0.283000 1.000000 1.000000 0.717004
Case 0: 284	 0.000000 0.284000 0.716004 0.000000 0.284000 1.000000 1.000000 0.716004
Case 0: 285	 0.000000 0.285000 0.715004 0.000000 0.285000 1.000000 1.000000 0.715004
